City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Qaanaaq,GL,38.26,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
1,Cape Town,ZA,57.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Rikitea,PF,73.51,overcast clouds,-23.1203,-134.9692,People ThankYou
3,Castro,BR,55.58,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Kapaa,US,80.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Salalah,OM,77.45,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
7,Los Llanos De Aridane,ES,73.15,scattered clouds,28.6585,-17.9182,Valle Aridane
8,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Arraial Do Cabo,BR,68.61,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Jamestown,US,69.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Hermanus,ZA,48.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Dengzhou,CN,68.34,clear sky,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
13,Ushuaia,AR,31.93,light snow,-54.8,-68.3,Albatross Hotel
14,Narsaq,GL,52.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
15,Bafoulabe,ML,86.32,light rain,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
16,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
17,Malanje,AO,80.6,broken clouds,-9.5402,16.341,Hotel Ginga
18,Comodoro Rivadavia,AR,43.48,overcast clouds,-45.8667,-67.5,Austral Hotel
19,Norman Wells,CA,41.45,overcast clouds,65.282,-126.8329,Heritage Hotel
20,Saint-Francois,FR,78.24,clear sky,46.4154,3.9054,Maison Vin d'Hus
21,Atuona,PF,75.81,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
22,Vaini,TO,75.87,overcast clouds,-21.2,-175.2,Keleti Beach Resort
23,Vadso,NO,43.68,scattered clouds,70.0744,29.7487,Scandic Vadsø
24,Puerto Ayacucho,VE,83.86,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
25,Magadan,RU,44.82,broken clouds,59.5667,150.8,Magadan hotel
26,Margate,GB,67.87,moderate rain,51.3813,1.3862,Premier Inn Margate hotel
27,Harper,LR,76.28,light rain,4.375,-7.7169,Screensaver
29,Bluff,NZ,41.81,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,West Plains,US,80.22,overcast clouds,36.7281,-91.8524,West Plains Motel
31,Petropavlovsk-Kamchatskiy,RU,49.77,overcast clouds,53.0452,158.6483,The Hotel Petropavlovsky
33,Constitucion,CL,59.94,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
36,Esperance,AU,55.96,overcast clouds,-33.8667,121.9,Hospitality Esperance
38,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
39,Butaritari,KI,81.81,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
40,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Mataura,NZ,41.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
44,Zhigansk,RU,42.51,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
45,Kavaratti,IN,78.84,overcast clouds,10.5669,72.642,Green leaf
46,Punta Arenas,CL,37.11,few clouds,-53.15,-70.9167,Hotel Hain
47,Hobart,AU,44.06,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
