City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
0,Qaanaaq,77.484,-69.3632,38.26,80,97,8.66,GL,overcast clouds,2022-09-06 18:00:21
1,Cape Town,-33.9258,18.4232,57.27,65,0,13.8,ZA,clear sky,2022-09-06 17:59:44
2,Rikitea,-23.1203,-134.9692,73.51,69,99,22.44,PF,overcast clouds,2022-09-06 18:00:21
3,Castro,-24.7911,-50.0119,55.58,97,100,10.4,BR,overcast clouds,2022-09-06 18:00:22
4,Alta Floresta,-9.8756,-56.0861,98.42,30,68,5.75,BR,smoke,2022-09-06 17:59:57
5,Kapaa,22.0752,-159.319,80.92,84,40,13.8,US,moderate rain,2022-09-06 18:00:22
6,Salalah,17.0151,54.0924,77.45,91,100,5.91,OM,overcast clouds,2022-09-06 18:00:22
7,Los Llanos De Aridane,28.6585,-17.9182,73.15,84,40,13.8,ES,scattered clouds,2022-09-06 18:00:23
8,Mahebourg,-20.4081,57.7,71.26,64,61,14.63,MU,broken clouds,2022-09-06 18:00:23
9,Arraial Do Cabo,-22.9661,-42.0278,68.61,68,76,17.85,BR,broken clouds,2022-09-06 18:00:24
10,Jamestown,42.097,-79.2353,69.06,66,100,8.05,US,overcast clouds,2022-09-06 18:00:24
11,Hermanus,-34.4187,19.2345,48.79,78,34,7.99,ZA,scattered clouds,2022-09-06 18:00:24
12,Dengzhou,37.8086,120.7508,68.34,60,0,9.71,CN,clear sky,2022-09-06 18:00:25
13,Ushuaia,-54.8,-68.3,31.93,71,98,10.76,AR,light snow,2022-09-06 18:00:25
14,Narsaq,60.9167,-46.05,52.02,84,100,1.28,GL,overcast clouds,2022-09-06 18:00:26
15,Bafoulabe,13.8065,-10.8321,86.32,76,71,4.18,ML,light rain,2022-09-06 18:00:26
16,Ribeira Grande,38.5167,-28.7,77.4,88,40,11.5,PT,scattered clouds,2022-09-06 18:00:26
17,Malanje,-9.5402,16.341,80.6,37,67,5.28,AO,broken clouds,2022-09-06 18:00:27
18,Comodoro Rivadavia,-45.8667,-67.5,43.48,73,100,21.39,AR,overcast clouds,2022-09-06 18:00:27
19,Norman Wells,65.282,-126.8329,41.45,78,95,9.71,CA,overcast clouds,2022-09-06 18:00:27
20,Saint-Francois,46.4154,3.9054,78.24,50,0,8.05,FR,clear sky,2022-09-06 18:00:28
21,Atuona,-9.8,-139.0333,75.81,81,52,15.37,PF,light rain,2022-09-06 18:00:28
22,Vaini,-21.2,-175.2,75.87,78,93,8.86,TO,overcast clouds,2022-09-06 18:00:28
23,Vadso,70.0744,29.7487,43.68,81,40,3.44,NO,scattered clouds,2022-09-06 18:00:29
24,Puerto Ayacucho,5.6639,-67.6236,83.86,74,92,4.85,VE,overcast clouds,2022-09-06 18:00:29
25,Magadan,59.5667,150.8,44.82,83,57,1.34,RU,broken clouds,2022-09-06 18:00:30
26,Margate,51.3813,1.3862,67.87,76,100,7.0,GB,moderate rain,2022-09-06 18:00:30
27,Harper,4.375,-7.7169,76.28,88,97,11.1,LR,light rain,2022-09-06 18:00:30
28,Evensk,61.95,159.2333,41.14,84,2,2.44,RU,clear sky,2022-09-06 17:57:22
29,Bluff,-46.6,168.3333,41.81,89,98,24.79,NZ,light rain,2022-09-06 18:00:31
30,West Plains,36.7281,-91.8524,80.22,76,100,3.44,US,overcast clouds,2022-09-06 18:00:31
31,Petropavlovsk-Kamchatskiy,53.0452,158.6483,49.77,91,100,2.66,RU,overcast clouds,2022-09-06 18:00:32
32,Kortkeros,61.8106,51.5806,46.4,97,100,3.69,RU,light rain,2022-09-06 18:00:32
33,Constitucion,-35.3333,-72.4167,59.94,53,3,5.88,CL,clear sky,2022-09-06 18:00:32
34,Dikson,73.5069,80.5464,36.63,76,100,21.45,RU,overcast clouds,2022-09-06 18:00:33
35,Katangli,51.7102,143.2326,54.25,98,100,26.08,RU,light rain,2022-09-06 18:00:33
36,Esperance,-33.8667,121.9,55.96,67,93,17.56,AU,overcast clouds,2022-09-06 18:00:18
37,Cedar City,37.6775,-113.0619,90.39,16,22,8.41,US,few clouds,2022-09-06 17:58:08
38,Komsomolskiy,40.4272,71.7189,77.72,25,0,9.22,UZ,clear sky,2022-09-06 18:00:34
39,Butaritari,3.0707,172.7902,81.81,74,35,19.55,KI,scattered clouds,2022-09-06 18:00:34
40,Hilo,19.7297,-155.09,81.28,97,37,1.01,US,scattered clouds,2022-09-06 18:00:34
41,Albany,42.6001,-73.9662,65.39,95,100,4.54,US,overcast clouds,2022-09-06 17:59:06
42,Lavrentiya,65.5833,-171.0,43.11,96,100,6.98,RU,light rain,2022-09-06 18:00:35
43,Mataura,-46.1927,168.8643,41.49,96,92,4.54,NZ,overcast clouds,2022-09-06 18:00:35
44,Zhigansk,66.7697,123.3711,42.51,92,100,17.4,RU,overcast clouds,2022-09-06 18:00:36
45,Kavaratti,10.5669,72.642,78.84,82,100,29.08,IN,overcast clouds,2022-09-06 18:00:36
46,Punta Arenas,-53.15,-70.9167,37.11,69,17,19.62,CL,few clouds,2022-09-06 18:00:36
47,Hobart,-42.8794,147.3294,44.06,94,25,5.75,AU,scattered clouds,2022-09-06 18:00:05
48,Bethel,41.3712,-73.414,68.36,88,100,1.01,US,moderate rain,2022-09-06 17:57:12
49,Nikolskoye,59.7035,30.7861,51.87,79,98,6.73,RU,light rain,2022-09-06 18:00:37
50,Tuatapere,-46.1333,167.6833,39.15,95,94,6.69,NZ,overcast clouds,2022-09-06 18:00:37
51,Porangatu,-13.4408,-49.1486,100.56,12,53,1.66,BR,broken clouds,2022-09-06 18:00:37
52,Annau,37.8876,58.516,88.93,17,0,4.14,TM,clear sky,2022-09-06 18:00:38
53,Bilma,18.6853,12.9164,97.29,23,64,10.87,NE,broken clouds,2022-09-06 18:00:38
54,Dongying,37.4564,118.4856,67.1,49,0,5.53,CN,clear sky,2022-09-06 18:00:38
55,Hirara,24.8,125.2833,83.7,77,100,4.0,JP,overcast clouds,2022-09-06 18:00:39
56,Paris,48.8534,2.3488,81.37,49,94,10.36,FR,overcast clouds,2022-09-06 18:00:06
57,Ponta Do Sol,32.6667,-17.1,78.12,72,36,4.76,PT,scattered clouds,2022-09-06 18:00:39
58,Yumen,40.2833,97.2,68.29,17,17,11.14,CN,few clouds,2022-09-06 18:00:39
59,Kungalv,57.871,11.9805,62.46,67,29,3.51,SE,scattered clouds,2022-09-06 18:00:40
60,Cervo,43.6702,-7.4101,69.96,67,89,13.4,ES,overcast clouds,2022-09-06 18:00:40
61,Georgetown,5.4112,100.3354,82.33,91,40,3.44,MY,scattered clouds,2022-09-06 17:59:57
62,Tiznit,29.5833,-9.5,75.92,48,16,7.43,MA,few clouds,2022-09-06 18:00:41
63,Kaitangata,-46.2817,169.8464,41.47,74,89,13.18,NZ,overcast clouds,2022-09-06 18:00:41
64,Ostrovnoy,68.0531,39.5131,44.4,79,97,19.13,RU,light rain,2022-09-06 18:00:41
65,Yellowknife,62.456,-114.3525,48.56,81,100,18.01,CA,overcast clouds,2022-09-06 18:00:42
66,Jacareacanga,-6.2222,-57.7528,100.11,23,41,3.06,BR,scattered clouds,2022-09-06 18:00:42
67,Sept-Iles,50.2001,-66.3821,60.06,70,82,5.01,CA,broken clouds,2022-09-06 18:00:05
68,Waw,7.7029,27.9953,75.16,89,99,2.3,SS,light rain,2022-09-06 18:00:06
69,Taga,46.95,24.05,64.72,64,84,2.1,RO,broken clouds,2022-09-06 18:00:43
70,Busselton,-33.65,115.3333,50.43,78,18,7.27,AU,few clouds,2022-09-06 18:00:43
71,Sao Filipe,14.8961,-24.4956,79.83,83,99,10.09,CV,moderate rain,2022-09-06 18:00:43
72,Barrow,71.2906,-156.7887,35.62,100,100,16.11,US,mist,2022-09-06 18:00:44
73,Kavieng,-2.5744,150.7967,81.32,80,30,12.59,PG,scattered clouds,2022-09-06 18:00:44
74,New Norfolk,-42.7826,147.0587,43.72,80,51,1.79,AU,broken clouds,2022-09-06 18:00:44
75,Puerto Ayora,-0.7393,-90.3518,69.55,98,100,4.0,EC,overcast clouds,2022-09-06 18:00:45
